SectionIndex,CourseIndex,CourseName,Category,Keyword,Delivery,Location,FormatedStartDate,FormatedEndDate,StartDate,EndDate,Credits,Cost,Price,FormatedCost,Teachers,Teachers2,AvailableForRegistration,CapAvailable,Cap,Enrolled,MeetingTimeDisplay,PublicNotes,DirectUrl,RegistrationPageUrl,RegistrationUrl,SourceUrl,Description
8,8,"American Society of Addiction Medicine (ASAM) E-Learning Center","Health and Behavioral Health","addiction, opioids, CME",,,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=8,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=8,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"This is the portal for all of ASAM's educational offerings."
4038,1343,"An Introduction to Academic Detailing","Health and Behavioral Health","MOUD, Continuing Education, Academic Detailing",On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Bekah Meyer, Dustin Muse, Aaron Walbrecher","Meyer, Bekah; Muse, Dustin; Walbrecher, Aaron",true,9991,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4038,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4038,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"An introduction to Academic Detailing. CEs available"
963,530,"ANTHC Presents: AK ID ECHO: HCV, HIV, PrEP and common STIs","Health and Behavioral Health","ANTHC,ECHO,STI,STD,HCV,HIV","Live / Online",*Online,Ongoing,Ongoing,,,0,,,,NA,"TBD, TBD",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=963,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=963,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"ANTHC's ECHO Series focusing on prevention of STIs"
966,531,"ANTHC Presents: LiverConnect ECHO","Health and Behavioral Health","Liver Disease, Liver, ECHO",,*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=966,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=966,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Discuss holistics, best practices, and panel discussions"
3067,1131,"APCA Presents: No-Cost Employer Opportunities in APCA Workforce Training Program","Health and Behavioral Health",,On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3067,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3067,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Learn to develop and grow your workforce!"
775,430,"Building Vaccine Confidence in Alaska","Health and Behavioral Health","Vaccine, Confidence, Public Health, Continuing Education",On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Dustin Muse, Jennifer Meyer","Muse, Dustin; Meyer, Jennifer",true,9834,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=775,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=775,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Presented by UAA: Building Vaccine Confidence in Alaska"
4498,1377,"CALS 2026 - MD/DO/PA/NP - October 2026","Health and Behavioral Health","CALS, Comprehensive","Live / In-Person",,Ongoing,Ongoing,,,0,1650,,"$1,650.00","Dustin Muse, Charles Wengenroth","Muse, Dustin; Wengenroth, Charles",true,16,18,0,,"This is the registration for MD/DO/PA/NPs.",https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4498,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4498,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Register for CALS Training, January 23-25, 2026"
4499,1377,"CALS 2026 - RN/Paramedic - October 2026","Health and Behavioral Health","CALS, Comprehensive","Live / In-Person",,Ongoing,Ongoing,,,0,1200,,"$1,200.00","Dustin Muse, Charles Wengenroth","Muse, Dustin; Wengenroth, Charles",false,4,6,0,,"This is the registration for RN/Paramedics.",https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4499,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4499,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Register for CALS Training, January 23-25, 2026"
1224,607,"Center for Human Development Presents: Project ECHO","Health and Behavioral Health","ECHO, Learning, Community","Live / Online",*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1224,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1224,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Participate in CHD's wealth of ECHOs, crossing various topics!"
22,21,"Chronic Pain Core Curriculum - PCSS","Health and Behavioral Health",,,,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,29,30,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=22,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=22,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Treating chronic pain with evidence based prescribing curriculu"
